Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,register,323,0,3000.0,2863.79265107918,548.4489999944344,3329.324599937536,123.70278637770897,5.435696350415665,0.0,3000,3100,3100,3100,3200,3200,3300,3300,3300,3300,3300
,Aggregated,323,0,3000.0,2863.79265107918,548.4489999944344,3329.324599937536,123.70278637770897,5.435696350415665,0.0,3000,3100,3100,3100,3200,3200,3300,3300,3300,3300,3300
