Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/user/register/,71,0,3000.0,2915.007439432141,1278.594100032933,3399.7027999721467,124.0,1.195357264689801,0.0,3000,3100,3100,3100,3200,3300,3400,3400,3400,3400,3400
POST,/api/user/register/?boom=1,84,0,3000.0,2863.1368773848017,378.64789995364845,3295.844499953091,124.0,1.414225496252722,0.0,3000,3100,3100,3100,3200,3200,3200,3300,3300,3300,3300
POST,/api/user/register/?qspam=1,80,0,3000.0,2850.224641257955,569.7452001040801,3438.037500018254,124.0,1.3468814250025924,0.0,3000,3000,3100,3100,3200,3300,3400,3400,3400,3400,3400
POST,/api/user/register/?slow=1,90,0,3000.0,2802.8641611117764,197.30070000514388,3326.5588000649586,124.0,1.5152416031279166,0.0,3000,3100,3100,3200,3200,3200,3300,3300,3300,3300,3300
,Aggregated,325,0,3000.0,2854.5992975406207,197.30070000514388,3438.037500018254,124.0,5.471705789073032,0.0,3000,3100,3100,3100,3200,3200,3300,3400,3400,3400,3400
